leaid,leaname,fips,stateabb,metroid,metromicro,czid,countyid,cdcode,urban,avgrdall,avgrdwht,avgrdblk,avgrdhsp,perind,perasn,perhsp,perblk,perwht,perfrl,pernonfrl,perell,perspeced,ind,asn,hsp,blk,wht,frl,nonfrl,totenrl,nsch,ncharters,speced,ell,elmtch,tottch,aides,corsup,elmgui,stutch_wht,stutch_blk,stutch_hsp,stutch_all,diffstutch_blkwht,diffstutch_hspwht,ratstutch_whtblk,ratstutch_whthsp,flunch_all,flunch_wht,flunch_blk,flunch_hsp,diffexplch_blkwht,diffexplch_hspwht,hswhtblk,hswhthsp,hsflnfl,ppexp_tot,ppexp_inst,pprev_tot,percharter_all,percharter_wht,percharter_blk,percharter_hsp,totppe_fleslope,instppe_fleslope,gslo,gshi,profocc_wht,baplus_wht,poverty517_wht,snap_wht,rent_wht,singmom_wht,samehouse_wht,unemp_wht,profocc_hsp,baplus_hsp,poverty517_hsp,snap_hsp,rent_hsp,singmom_hsp,samehouse_hsp,unemp_hsp,profocc_blk,baplus_blk,poverty517_blk,snap_blk,rent_blk,singmom_blk,samehouse_blk,unemp_blk,profocc_all,baplus_all,poverty517_all,singmom_all,snap_all,rent_all,samehouse_all,unemp_all,pctenglish1,pctenglish2,pctenglish3,pctforeign,pctmexico,pctpuerto,pctcuba,pctcentral,pctsouth,inc50all,incrat9010all,incrat9050all,incrat5010all,inc50blk,incrat9010blk,incrat9050blk,incrat5010blk,inc50hsp,incrat9010hsp,incrat9050hsp,incrat5010hsp,inc50wht,incrat9010wht,incrat9050wht,incrat5010wht,giniall,giniwht,giniblk,ginihsp,paredVblkwht,paredVhspwht,incVblkwht,incVhspwht,baplus_mal,baplus_fem,pov_mal,pov_fem,occbus_mal,occbus_fem,occsci_mal,occsci_fem,occeduc_mal,occeduc_fem,occhealth_mal,occhealth_fem,occserv_mal,occserv_fem,occsales_mal,occsales_fem,occtrade_mal,occtrade_fem,teenbirth_all,incVmalfem,educVmalfem,inlf_mal,inlf_fem,unemp_mal,unemp_fem,sesall,seswht,sesblk,seshsp,sesallimp1,sesallimp2,seswhtimp1,seswhtimp2,sesblkimp1,sesblkimp2,seshspimp1,seshspimp2
1700001,RIVER RIDGE CUSD 210,17,IL,,,344,17085,1716,0,34.733334,32.962162,.48751947,.73527765,.0085192751,.0073822108,.021391546,.014091964,.94861501,.25784466,.74215537,.0030520828,.17742227,1.761846822500229,1.528390341997147,4.411665749549866,2.925116774439812,197.7729808807373,53.75274677276612,154.6472545623779,208.4,3,0,91,1.6,25.30249977111816,44.15250015258789,1.710000038146973,.125,.9980000019073486,12.525371,12.063187,12.764085,12.512613,-.46218434,.23871383,1.0424774,.9826287,.25784466,.257512,.26707387,.25240412,.0095618423,-.0051078917,0,0,0,13543.109,7553.0928,15593.261,0,0,0,0,554.18652,201.95183,-1,12,.42342341,.25223061,.171875,.15909091,.25,.18181819,.921875,.038967136,,0,0,,,,1,0,,.13513513,1,,,,1,.096774191,.20535715,.26270732,.11363637,.17977528,.15730338,.24719101,.92307693,.036918137,1,1,0,0,1,0,0,0,0,48199.359,10.663236,3.26296,3.2679639,,,,,,,,,48199.359,10.663236,3.26296,3.2679639,.40225795,.40225795,,,.91359574,1.4810976,,,.24630873,.25134772,.12693799,.14876899,.23659305,.11730546,.014721346,.0046457606,.018927446,.21370499,.032597266,.031358887,.2639327,.27061558,.13985279,.18350755,.20084122,0,0,.20466721,-.10229251,.79418105,.79277366,.03256445,.062674098,.24881677,.083451129,-6.764852,1.2919916,0,0,0,0,0,1,0,1
1700002,CASEY-WESTFIELD CUSD 4C,17,IL,,,242,17023,1715,0,73.23333,71.145432,.90106809,.71683931,0,.0063937698,.0098098908,.012280068,.97151625,.39871073,.60128927,.00058884104,.20273103,0,2.819976079463959,4.301035737991333,5.406408435106277,426.8725814819336,174.8688861846924,264.5311130523681,439.4,3,0,209.8,.6,38.82499980926514,72.11000061035156,2.807999992370605,.5,1,16.367344,16.397259,16.373072,16.367247,.029914474,.0057273866,1.0008191,.99860102,.39871073,.39854398,.39841577,.40523037,-.00012820362,.0066864071,0,0,0,11191.194,5429.2485,10181.868,0,0,0,0,554.18652,201.95183,-1,12,.21428572,.13478573,.19905214,.28148147,.25185186,.12592593,.98139536,.05400563,,,,,,,,,,,,,,,,,.17261904,.14153846,.16666667,.12592593,.28148147,.25185186,.98139536,.043076921,,,,,,,,,,50105.254,9.7828207,2.2452633,4.3570924,,,,,,,,,50105.254,9.7828207,2.2452633,4.3570924,.41390646,.41390646,,,,,,,.1424,.13039723,.10864904,.20732082,.21413577,.064022265,.035689294,0,.055283416,.18510786,.016095171,.066805847,.075577326,.19972165,.12246326,.36743215,.2316305,.002783577,.10695187,.62904084,-.070185937,.87103176,.72669733,.044039484,.066993468,-.18704079,-.36360797,,,0,0,0,0,0,0,0,0
1700003,BLUE RIDGE CUSD 18,17,IL,,,320,17039,1715,0,58.700001,56.828781,.89279485,.64675033,.0035496799,.0020431872,.011132746,.014887424,.96838695,.3013384,.69866157,.0024229526,.15365349,1.265166306495666,.7248795688152313,3.880502110719681,5.356769090890884,340.9726860046387,106.0566585540772,246.1433406829834,352.2,4,0,127.6,2,35.4375,61.28750038146973,3.065999984741211,0,0,13.972085,14.423779,14.18468,13.990237,.45169315,.21259499,.97431588,.98563236,.3013384,.30134404,.29962546,.30118001,-.0017185748,-.00016403198,0,0,0,10810.84,5580.0571,11935.93,0,0,0,0,554.18652,201.95183,-1,12,.30327868,.1913649,.11409396,.14130434,.14130434,.16304348,.8831169,.031746034,,0,,,,,,0,,,,,,,,,.10655738,.2112473,.11111111,.16304348,.14130434,.14130434,.8831169,.020547945,,,,,,,,,,66642.414,6.1300392,1.7660165,3.4711108,,,,,,,,,66642.414,6.1300392,1.7660165,3.4711108,.30279031,.30279031,,,,,,,.17319705,.2062635,.079707354,.095161937,.12746479,.19774011,.08169014,.0080710249,.028169014,.15577078,.0021126762,.064568199,.10915493,.19854721,.13732395,.30347055,.2415493,.0024213076,0,.39233235,-.13063318,.86095101,.73015875,.027615063,.024870466,.59343797,.465094,,,0,0,0,0,0,0,0,0
1700004,NORRIS CITY-OMAHA-ENFIELD CUSD 3,17,IL,,,471,17193,1719,0,53.200001,52.658318,.077450983,.32128084,.00043918667,.0022092096,.005985599,.0013708139,.98999518,.36400101,.63599896,0,.20322876,.1370262429118156,.7206828564405441,1.927685011923313,.4647058963775635,315.9499039649963,115.9199335098267,203.280064868927,319.2,3,0,150,0,31.44749975204468,54.11000061035156,2.7,0,0,14.662884,10,14.235385,14.655879,-6.237896,-.42749938,1.6237895,1.0440301,.36400101,.36394903,.48550725,.36815125,.12397859,.0042022169,.24427952,.14215246,.0092537263,9145.749,4909.1221,9488.7578,0,0,0,0,554.18652,201.95183,-1,12,.1875,.11004309,.34558824,.25301206,.24096386,.18072289,.94852942,.064766839,1,0,0,0,1,0,.40000001,0,,0,,,,,,0,.030927835,.1142232,.29761904,.17857143,.25,.25,.942029,.06083151,1,1,1,0,1,0,0,.40000001,0,44999,17.731192,2.2063766,8.0363398,,,,,47499.5,1.0878948,1.0420973,1.0439473,44165.836,17.902321,2.2156544,8.0799246,.41501626,.41769513,,.086957276,,,,,.1060802,.11103767,.18567753,.20504281,.15735167,.086757988,.025795357,.010273973,.015477214,.13812785,.007738607,.15639269,.14101462,.27283105,.088564061,.25799087,.23473775,.0045662099,.054054055,.47150603,-.083826199,.80833334,.70138252,.080712788,.083109923,-.75557947,-.92176515,,1.1663437,0,0,0,0,0,0,0,0
1700005,PRAIRIE CENTRAL CUSD 8,17,IL,38700,2,320,17105,1715,0,151.73334,144.3224,1.9731193,4.3639874,.00041152511,.006674543,.028788527,.013002599,.95112282,.27470255,.72529745,.00046639895,.19402352,.381995278596878,6.060979194939137,26.18392542600632,11.83871559649706,865.9343776702881,249.6720233440399,660.7279708862304,910.4,7,0,418.2,1,95.44999885559082,158.8524971008301,0,.1749999970197678,0,14.270373,14.447094,14.513669,14.279759,.17672086,.24329567,.98776102,.9834168,.27470255,.27522355,.25366265,.26898542,-.021560928,-.0062381476,.022581078,.020524722,.016544923,10249.749,6145.9961,10666.401,0,0,0,0,554.18652,201.95183,-1,12,.34797296,.16324845,.10185185,.10666667,.23999999,.16444445,.90389013,.060546581,.2,.068376072,.21875,1,.60000002,.60000002,.78125,.011363637,,0,,,,,,.84615386,.17207792,.18472727,.10344828,.1724138,.13362069,.25431034,.8951782,.04709091,1,1,.53125,.125,.8125,0,0,.1875,0,62499.832,5.7933645,1.9322995,2.9981713,,,,,19249.15,6.7606044,2.1948788,3.0801721,63593.508,5.6195173,1.9202352,2.9264734,.33136442,.32460088,,.27922589,,.64963889,,,.15363359,.16817725,.071029387,.1093962,.16722746,.089949161,.017496636,.0054751663,.050807536,.16933908,.0030282638,.071959324,.054172274,.2084474,.11507402,.37152913,.26951548,.0023464998,.033530571,.60567242,-.0001521599,.91469532,.74059039,.06465517,.04820513,.30603895,.24386083,,-2.9199152,0,0,0,0,0,0,0,0
1700007,EASTLAND CUSD 308,17,IL,,,115,17015,1716,0,46.833332,46.137222,.17382731,.41712177,0,.0022646885,.0088072987,.0036425085,.98528552,.23369156,.76630843,.0014520366,.14352839,0,.6309649050235748,2.502730575203896,1.042963859438896,276.8233413696289,65.74914054870605,215.2508598327637,281,3,0,101.8,1,28.19749975204468,52.52999973297119,1.492000007629394,0,0,14.202355,14.100593,14.152945,14.202355,0,0,1,1,.23369156,.23369156,.22560555,.23372029,0,0,0,0,0,14180.983,7129.8423,13208.28,0,0,0,0,554.18652,201.95183,-1,12,.35294119,.18430364,.09375,.16049382,.2962963,.2962963,.88125002,.034661356,0,0,.15384616,1,1,0,.92307693,.052631579,0,0,,,,,,0,.19008264,.22462489,.10465116,.27906978,.18604651,.3255814,.8659218,.033097971,1,.84615386,.84615386,0,1,0,0,0,0,56285.086,8.2620001,2.1597488,3.8254452,,,,,47499.5,1.0878948,1.0420973,1.0439473,60149.988,8.5436764,2.0391583,4.1898055,.31428424,.31722856,,0,,.68877214,,,.17139001,.19208038,.071859062,.10393013,.26845637,.1221374,.065196551,.014312977,.018216683,.16698474,.015340365,.098282441,.046021093,.21755725,.095877275,.27576336,.23202302,.020038167,0,.44005531,-.0578897,.84794778,.79564488,.057205722,.026467204,.11964437,.14537632,,-1.6484889,0,0,0,0,0,0,0,0
1700009,PINCKNEYVILLE SD 50,17,IL,,,384,17145,1712,0,66.466667,64.396881,.23136961,1.3070395,.0014603407,.0065533374,.019597959,.0034927083,.96889567,.30370533,.69629467,0,.17296816,.5775398045778275,2.610719564557075,7.842236918210984,1.388217687606812,386.381290435791,121.4673889160156,277.332608795166,398.8,2,0,102,0,32.30999994277954,35.31750011444092,1.272000026702881,0,0,16.796799,16.556269,16.925175,16.798883,-.45746183,.12837544,1.0281841,.99252439,.30370533,.30367342,.31110698,.30666655,.0085081421,.0029931306,0,0,0,8637.8174,5076.7886,8657.7793,0,0,0,0,554.18652,201.95183,0,8,.53086418,.16014852,.35772356,.32926831,.25609756,.28048781,.74015749,.08316832,,.30952382,,,,,,.12903225,,,,,,,1,,.12345679,.18097138,.2682927,.28048781,.32926831,.25609756,.74418604,.078842312,,,,,,,,,,39999,14.98111,2.7917247,5.3662562,,,,,,,,,39999,14.98111,2.7917247,5.3662562,.46452191,.46452191,,,,,,,.16756757,.15502392,.14310285,.11385794,.10122921,.087399855,.030368764,0,.039768618,.13109978,0,.14056809,.18872017,.24690458,.094721623,.27021122,.25307304,0,.11864407,.35187578,-.023352733,.8101604,.81125826,.1130363,.09049774,-1.1848615,-1.4434944,,,0,0,0,0,0,0,0,0
1700010,BEACH PARK CCSD 3,17,IL,29404,1,58,17097,1708,0,281.33334,98.122635,68.071671,99.077667,.0075057135,.049574416,.35299039,.24210748,.34782198,.31518352,.68481648,.10111725,.18549874,12.51739592254162,83.85073933005333,594.4659870147705,408.4300487518311,588.7358209609986,529.6087478637695,1158.391258239746,1688,5,0,466,249.4,148.6725006103516,161.1000022888184,10.2,0,0,15.244116,15.304724,15.18101,15.241896,.06060829,-.063105389,.99563193,1.0045009,.31518352,.31655598,.30972412,.31966555,-.0068318485,.0031095892,.01500883,.0024387105,.011040002,10842.487,5832.5601,11376.45,0,0,0,0,554.18652,201.95183,-1,8,.27748692,.22434308,.029239766,.082089551,.19402985,.14925373,1,.063939311,.10377359,.058252428,.1032258,.010810811,.094594598,.27027026,.8128655,.084703945,.27500001,.20866142,.15652174,.16483517,.27472529,.23076923,.93043476,.018450184,.11342593,.21440823,.11708861,.19936709,.088607594,.18987341,.91649693,.058228761,.98802394,.9461078,.53293413,.01754386,.65497077,.2748538,.011695907,.01754386,.040935673,70949.273,6.5549507,1.6514049,3.9693177,79687.313,17.886305,1.4588188,12.260814,65142.516,2.7072654,1.5079914,1.7952789,77105.18,4.4132724,1.57399,2.8038759,.30126783,.2672103,.33051288,.26714548,-.26361132,.55551815,.17386185,.28647009,.19790828,.21802115,.061775662,.06834802,.1362223,.13393231,.076369993,.045549519,.030314807,.14354368,.01127089,.065816969,.13078119,.14584205,.21647882,.40284163,.1550719,.014625993,.037819799,.31698489,.026169347,.88661712,.76689488,.070008457,.072567597,.32475749,.62710226,.44671497,-.068408966,0,0,0,0,0,0,0,0
1700014,GOREVILLE CUD 1,17,IL,,,384,17087,1719,0,44.433334,43.871284,.061857473,.50019157,0,0,.011195944,.0014142748,.98738974,.27001047,.72998953,.00031496063,.146832,0,0,3.001149451732636,.3711448431015015,263.2277027130127,71.72668943405151,194.8733055114746,266.6,2,0,92,.2,21.68499994277954,40.32999992370606,2.905999946594238,0,0,17.559231,17.178463,17.559231,17.559231,0,0,1,1,.27001047,.27001047,.29126,.27001047,0,0,0,0,0,9310.2256,4772.292,9921.2568,0,0,0,0,554.18652,201.95183,-1,12,.30952382,.17487794,.025641026,.11864407,.18644068,.084745765,.95726496,.040422887,,,,,,,,,,,,,,,,,.14285715,.19540229,.013559322,.084745765,.11864407,.18644068,.95726496,.034482758,,,,,,,,,,75326.078,4.0988235,1.6705146,2.4536295,,,,,,,,,75326.078,4.0988235,1.6705146,2.4536295,.28950924,.28950924,,,,,,,.16015625,.18714403,.037928518,.08369498,.074000001,.09688013,.037999999,0,.071999997,.11658456,.032000002,.17898194,.212,.22167487,.104,.33004925,.19,.018062398,0,.73616838,-.037213773,.69590646,.6842767,.081932776,.02264151,.9200021,.81792766,,,0,0,0,0,0,0,0,0
1700015,JOPPA-MAPLE GROVE UD 38,17,IL,37140,2,343,17127,1719,0,22.299999,21.80456,.21569699,.2542119,.0012255318,0,.01099884,.0094089303,.97836667,.48372945,.51627052,.00069444446,.12892328,.1531914830207825,0,1.525271488726139,1.294181904196739,130.8273544311523,64.68955335617065,69.11044712066651,133.8,2,0,37.6,.2,11.51999998092651,24.96500015258789,1.6,.125,0,13.96946,13.287041,15.700146,13.970974,-.68241918,1.5497539,1.0797797,.90373993,.48372945,.48368934,.47393045,.49893901,-.0097588776,.018766232,0,0,0,11517.088,5960.1167,11501.149,0,0,0,0,554.18652,201.95183,-1,12,.16666667,.13132401,.35211268,.4375,.21875,.15625,.73239434,.073732719,,,,,,,,,0,.33333334,.40000001,1,0,0,1,0,.045454547,.15632755,.30303031,.15151516,.45454547,.21212122,.75,.057071961,,,,,,,,,,34249.148,13.031569,3.1387553,4.1518273,37499.5,1.112654,1.0533234,1.056327,,,,,32999.402,13.751324,3.3333814,4.1253376,.46560678,.47477958,.094595619,,-.33590156,,,,.16204691,.12750456,.20303868,.22738694,.099009901,.08115942,.036303632,0,.01980198,.12463768,.0099009899,.057971016,.15511551,.36811593,.11881188,.34782609,.29042906,0,.025974026,.76273072,.096986391,.76963353,.7240566,.091836736,.064625852,-1.2084588,-1.4885379,-1.4955683,,0,0,0,0,0,0,0,0
