leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
1700001,RIVER RIDGE CUSD 210,IL,IL,.6467729672013505,.8239810646496457,.0379407733856747,.3156101316557808,.0816246419682342,.0650983228014154,.0492873875871707,.1515618071111233
1700002,CASEY-WESTFIELD CUSD 4C,IL,IL,.2111940959557943,.9934672969882944,-.0235284114093763,-.2969271821658524,.0637271342418405,.052841586518241,.0409265835132729,.1216234676745446
1700003,BLUE RIDGE CUSD 18,IL,IL,.1372070893411683,.9750020239418705,.0290522222338375,-.546585233237511,.0700237614743127,.0582959415451735,.0436391294206431,.1320372127579371
1700004,NORRIS CITY-OMAHA-ENFIELD CUSD 3,IL,IL,-.6651571699436261,.8942223277707428,.0512370487603337,-.4151756027138089,.0694591986507633,.056966023343873,.0433691658498719,.1315284964400458
1700005,PRAIRIE CENTRAL CUSD 8,IL,IL,.9407040677485954,.9594876359491182,-.0388530539417732,-.020453718920571,.0553833645531831,.0473246313793925,.0360022714267508,.1067062870756009
1700007,EASTLAND CUSD 308,IL,IL,.4273069096919304,.8598707152273722,-.0296209972169369,.0132610722214556,.0743246558446699,.0608715709408539,.045530785633123,.139164367782455
1700009,PINCKNEYVILLE SD 50,IL,IL,-.2333573757882874,.9673644165134654,-.0163442061741402,.0916771183732702,.0674553307831144,.0544145005657383,.0426616864288254,.1277016057669084
1700010,BEACH PARK CCSD 3,IL,IL,-.9476064921405563,.7685922955503733,-.0441941827321664,-.3868597649040968,.0508575135276673,.0439308456426441,.0337957794701199,.0985899276154087
1700014,GOREVILLE CUD 1,IL,IL,-.1204465009102984,1.218053847334476,.1195908528172772,-.2001977147412168,.0743890945571289,.0586908943158217,.0459144411951954,.1395815364997427
1700015,JOPPA-MAPLE GROVE UD 38,IL,IL,.156282851770106,1.257275778497628,.0994228153174069,.0360723545120929,.1265902491018046,.0797485568767392,.0655334577558727,.2009282612097071
1700041,GIBSON CITY-MELVIN-SIBLEY CUSD 5,IL,IL,.9294821291015252,1.035935921592959,.0112260221324268,-.0789544922580609,.0638235666746876,.0531141759632036,.0410323778712202,.1215791613383231
1700044,FARMINGTON CENTRAL CUSD 265,IL,IL,-.029950137572591,.9521064740143371,-.0234737770566198,-.3065869485240797,.0593089679699385,.0501570161354213,.0380846933277007,.1137709844826741
1700045,GALLATIN CUSD 7,IL,IL,-.4684096741514168,1.076723876579302,-.0143802716612766,-.4448617572701153,.0742242279488319,.0599423225119674,.0456645955545233,.140196634594869
1700065,SAUNEMIN CCSD 438,IL,IL,-.3936163018131076,.9663873214434263,.0412309436323307,-.0732779631864336,.3906213344599464,.1412852345299352,.0983665067215879,.3569601606973273
1700077,MARENGO-UNION E CONS D 165,IL,IL,.2675290813574049,.9968158308348815,-.0142638573095913,-.267395457744369,.0604287284898304,.0507432519629318,.0393399950136072,.1158249257025623
1700092,GEORGETOWN-RIDGE FARM CUD 4,IL,IL,-1.427388507269926,.7437188250598872,-.0414882449550653,-.3131344292528787,.0631048678772681,.0517529074607629,.0400682727083276,.1203143464805352
1700099,ISU  LABORATORY SCHOOLS,IL,IL,2.227024153097567,1.298275547917604,.2233151808173507,-.5741878795337047,.0766360274101384,.0620182155222213,.0465894797321417,.1435693576680931
1700105,A-C CENTRAL CUSD 262,IL,IL,-.0753300420410277,.940911434306831,-.0662397641676951,-.4591055066686898,.08225507078765,.0661298586870501,.049945786266709,.1522933214499566
1700106,HERITAGE CUSD 8,IL,IL,-.0943801095232599,1.080116129031239,.0475849281538291,-.0333055787140711,.0766982872021919,.0619704458119852,.0474034174365057,.1435340570035887
1700109,RIDGEVIEW CUSD 19,IL,IL,-.0814804690923969,.7564439509237935,.0025218874179247,-.2871041553802469,.076808926417664,.0626382436921315,.0469852408665946,.1434997844520407
1700110,NORTH CHICAGO SD 187,IL,IL,-2.352741966238639,.8288561879141105,-.0181430487458262,-.3547445324686827,.0503286893452449,.0433851287260934,.0335792250632414,.0976094923250693
1700112,STREATOR ESD 44,IL,IL,-.4576060187808668,.7872984546857164,-.1101141422096914,-.2422392842208205,.0533395557859396,.0457444475390387,.0351512122929194,.1031242310362755
1700113,ILLINI CENTRAL CUSD 189,IL,IL,-.4147791752883681,1.047659602761485,.1364866731372096,-.2910275977795019,.0700312651041735,.0569914896578075,.0436885625844746,.1326055717397341
1700114,SOUTH CENTRAL CUD 401,IL,IL,-.7369171445499108,.950849491035589,.0818696099706221,-.1158667538768513,.0730969880025015,.0587693397508931,.045188591367575,.1374158820166737
1700115,HENRY-SENACHWINE CUSD 5,IL,IL,.3465296149565553,.6814678761510269,-.1586780016893012,-.2649082369215716,.0762666346587705,.061898403655882,.0468773936087519,.1427268274590286
1700119,NORTH SHORE SD 112,IL,IL,1.691048100549396,.9474742282879334,-.0275332863299597,-.3960145905808726,.0505638296138376,.0437623594092211,.0333733520913846,.0980648599440328
1700122,SHILOH CUSD 1,IL,IL,-.4989029434030687,.9634307903519171,.0153187176403645,.192506920700299,.0862842553427116,.0672521312118806,.0514313968648641,.1585867089768845
1700123,MERIDIAN CUSD 15,IL,IL,-.038926098678524,.8726074083216603,-.0865570009721206,-.2923562429395663,.0623748171296388,.0527087934526956,.0399013237147735,.1194188010066256
1700125,BUREAU VALLEY CUSD 340,IL,IL,.3622833976803408,.9462707535838804,-.0084126143518372,-.32087293663694,.0663575781517656,.0560875104916208,.042002097970273,.1259954998000994
1700126,MIDLAND CUSD 7,IL,IL,.6987672454266489,1.028551919987655,.0148946110840153,-.0831754797461487,.0737148066295323,.0610467306709741,.0456257968794866,.1382143341717224
1700153,LEWISTOWN CUSD 97,IL,IL,-.8973516040466274,.699866699400155,-.104432739467676,-.689840975277776,.0723917815396452,.058866655625155,.044891999396872,.1361223253498298
1700176,COWDEN-HERRICK CUSD 3A,IL,IL,-.2291262518421551,.9182503297790698,.1105652685527431,.0930862897699976,.0846884779954662,.0665723204971024,.050878657424214,.1562796354972895
1700217,CHRISTOPHER USD 99,IL,IL,-.7744744979219078,.7952733255553126,-.269006116345268,-.2148525490806316,.0687664408126722,.0561956985581153,.0436459379989595,.1300919474954859
1700222,NIPPERSINK SD 2,IL,IL,.6383215154411257,1.12886575080632,.0307440890937709,-.4298837633994253,.053938513525717,.0461443530167268,.0354234079165386,.1042869922313095
